anio,tipo_descarga,visible_en_render,url_fuente,ruta_destino,archivo_esperado,estado_descarga,estado_auditoria,estado_lectura,estado_integracion,es_paquete_principal,estado_descarga_final,archivo_encontrado,ruta_archivo,extension_real,tamano_bytes,estado_auditoria_final,archivo_legible,n_hojas,n_filas_aprox_max,n_columnas_aprox_max
2018,todos_los_procesos,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2018/oece_convocatorias_2018_todos_los_procesos.xlsx,oece_convocatorias_2018_todos_los_procesos.xlsx,pendiente,pendiente,pendiente,pendiente,1,ok,oece_convocatorias_2018_todos_los_procesos.xlsx,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2018/oece_convocatorias_2018_todos_los_procesos.xlsx,.xlsx,16015105.0,ok,1,1.0,58101.0,28.0
2018,solo_subasta_inversa_electronica,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2018/oece_convocatorias_2018_solo_subasta_inversa_electronica.xlsx,oece_convocatorias_2018_solo_subasta_inversa_electronica.xlsx,pendiente,pendiente,pendiente,pendiente,0,ok,oece_convocatorias_2018_solo_subasta_inversa_electronica.xlsx,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2018/oece_convocatorias_2018_solo_subasta_inversa_electronica.xlsx,.xlsx,1312490.0,ok,1,1.0,5494.0,28.0
2018,solo_contratacion_directa,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2018/oece_convocatorias_2018_solo_contratacion_directa.xlsx,oece_convocatorias_2018_solo_contratacion_directa.xlsx,pendiente,pendiente,pendiente,pendiente,0,ok,oece_convocatorias_2018_solo_contratacion_directa.xlsx,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2018/oece_convocatorias_2018_solo_contratacion_directa.xlsx,.xlsx,746675.0,ok,1,1.0,2930.0,28.0
2019,todos_los_procesos,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2019/oece_convocatorias_2019_todos_los_procesos.xlsx,oece_convocatorias_2019_todos_los_procesos.xlsx,pendiente,pendiente,pendiente,pendiente,1,ok,oece_convocatorias_2019_todos_los_procesos.xlsx,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2019/oece_convocatorias_2019_todos_los_procesos.xlsx,.xlsx,16360851.0,ok,1,1.0,58205.0,28.0
2019,solo_subasta_inversa_electronica,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2019/oece_convocatorias_2019_solo_subasta_inversa_electronica.xlsx,oece_convocatorias_2019_solo_subasta_inversa_electronica.xlsx,pendiente,pendiente,pendiente,pendiente,0,ok,oece_convocatorias_2019_solo_subasta_inversa_electronica.xlsx,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2019/oece_convocatorias_2019_solo_subasta_inversa_electronica.xlsx,.xlsx,1579024.0,ok,1,1.0,6473.0,28.0
2019,solo_contratacion_directa,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2019/oece_convocatorias_2019_solo_contratacion_directa.xlsx,oece_convocatorias_2019_solo_contratacion_directa.xlsx,pendiente,pendiente,pendiente,pendiente,0,ok,oece_convocatorias_2019_solo_contratacion_directa.xlsx,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2019/oece_convocatorias_2019_solo_contratacion_directa.xlsx,.xlsx,1043261.0,ok,1,1.0,3893.0,28.0
2020,todos_los_procesos,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2020/oece_convocatorias_2020_todos_los_procesos.xlsx,oece_convocatorias_2020_todos_los_procesos.xlsx,pendiente,pendiente,pendiente,pendiente,1,ok,oece_convocatorias_2020_todos_los_procesos.xlsx,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2020/oece_convocatorias_2020_todos_los_procesos.xlsx,.xlsx,17438273.0,ok,1,1.0,60581.0,28.0
2020,solo_subasta_inversa_electronica,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2020/oece_convocatorias_2020_solo_subasta_inversa_electronica.xlsx,oece_convocatorias_2020_solo_subasta_inversa_electronica.xlsx,pendiente,pendiente,pendiente,pendiente,0,ok,oece_convocatorias_2020_solo_subasta_inversa_electronica.xlsx,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2020/oece_convocatorias_2020_solo_subasta_inversa_electronica.xlsx,.xlsx,1275167.0,ok,1,1.0,5075.0,28.0
2020,solo_contratacion_directa,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2020/oece_convocatorias_2020_solo_contratacion_directa.xlsx,oece_convocatorias_2020_solo_contratacion_directa.xlsx,pendiente,pendiente,pendiente,pendiente,0,ok,oece_convocatorias_2020_solo_contratacion_directa.xlsx,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2020/oece_convocatorias_2020_solo_contratacion_directa.xlsx,.xlsx,3540033.0,ok,1,1.0,13269.0,28.0
2021,todos_los_procesos,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2021/oece_convocatorias_2021_todos_los_procesos.xlsx,oece_convocatorias_2021_todos_los_procesos.xlsx,pendiente,pendiente,pendiente,pendiente,1,ok,oece_convocatorias_2021_todos_los_procesos.xlsx,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2021/oece_convocatorias_2021_todos_los_procesos.xlsx,.xlsx,16940623.0,ok,1,1.0,58306.0,28.0
