anio,tipo_descarga,visible_en_render,url_fuente,ruta_destino,archivo_esperado,estado_descarga,estado_auditoria,estado_lectura,estado_integracion,es_paquete_principal
2018,todos_los_procesos,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2018/oece_convocatorias_2018_todos_los_procesos.xlsx,oece_convocatorias_2018_todos_los_procesos.xlsx,pendiente,pendiente,pendiente,pendiente,1
2018,solo_subasta_inversa_electronica,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2018/oece_convocatorias_2018_solo_subasta_inversa_electronica.xlsx,oece_convocatorias_2018_solo_subasta_inversa_electronica.xlsx,pendiente,pendiente,pendiente,pendiente,0
2018,solo_contratacion_directa,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2018/oece_convocatorias_2018_solo_contratacion_directa.xlsx,oece_convocatorias_2018_solo_contratacion_directa.xlsx,pendiente,pendiente,pendiente,pendiente,0
2019,todos_los_procesos,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2019/oece_convocatorias_2019_todos_los_procesos.xlsx,oece_convocatorias_2019_todos_los_procesos.xlsx,pendiente,pendiente,pendiente,pendiente,1
2019,solo_subasta_inversa_electronica,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2019/oece_convocatorias_2019_solo_subasta_inversa_electronica.xlsx,oece_convocatorias_2019_solo_subasta_inversa_electronica.xlsx,pendiente,pendiente,pendiente,pendiente,0
2019,solo_contratacion_directa,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2019/oece_convocatorias_2019_solo_contratacion_directa.xlsx,oece_convocatorias_2019_solo_contratacion_directa.xlsx,pendiente,pendiente,pendiente,pendiente,0
2020,todos_los_procesos,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2020/oece_convocatorias_2020_todos_los_procesos.xlsx,oece_convocatorias_2020_todos_los_procesos.xlsx,pendiente,pendiente,pendiente,pendiente,1
2020,solo_subasta_inversa_electronica,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2020/oece_convocatorias_2020_solo_subasta_inversa_electronica.xlsx,oece_convocatorias_2020_solo_subasta_inversa_electronica.xlsx,pendiente,pendiente,pendiente,pendiente,0
2020,solo_contratacion_directa,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2020/oece_convocatorias_2020_solo_contratacion_directa.xlsx,oece_convocatorias_2020_solo_contratacion_directa.xlsx,pendiente,pendiente,pendiente,pendiente,0
2021,todos_los_procesos,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2021/oece_convocatorias_2021_todos_los_procesos.xlsx,oece_convocatorias_2021_todos_los_procesos.xlsx,pendiente,pendiente,pendiente,pendiente,1
2021,solo_subasta_inversa_electronica,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2021/oece_convocatorias_2021_solo_subasta_inversa_electronica.xlsx,oece_convocatorias_2021_solo_subasta_inversa_electronica.xlsx,pendiente,pendiente,pendiente,pendiente,0
2021,solo_contratacion_directa,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2021/oece_convocatorias_2021_solo_contratacion_directa.xlsx,oece_convocatorias_2021_solo_contratacion_directa.xlsx,pendiente,pendiente,pendiente,pendiente,0
2022,todos_los_procesos,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2022/oece_convocatorias_2022_todos_los_procesos.xlsx,oece_convocatorias_2022_todos_los_procesos.xlsx,pendiente,pendiente,pendiente,pendiente,1
2022,solo_subasta_inversa_electronica,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2022/oece_convocatorias_2022_solo_subasta_inversa_electronica.xlsx,oece_convocatorias_2022_solo_subasta_inversa_electronica.xlsx,pendiente,pendiente,pendiente,pendiente,0
2022,solo_contratacion_directa,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2022/oece_convocatorias_2022_solo_contratacion_directa.xlsx,oece_convocatorias_2022_solo_contratacion_directa.xlsx,pendiente,pendiente,pendiente,pendiente,0
2023,todos_los_procesos,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2023/oece_convocatorias_2023_todos_los_procesos.xlsx,oece_convocatorias_2023_todos_los_procesos.xlsx,pendiente,pendiente,pendiente,pendiente,1
2023,solo_subasta_inversa_electronica,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2023/oece_convocatorias_2023_solo_subasta_inversa_electronica.xlsx,oece_convocatorias_2023_solo_subasta_inversa_electronica.xlsx,pendiente,pendiente,pendiente,pendiente,0
2023,solo_contratacion_directa,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2023/oece_convocatorias_2023_solo_contratacion_directa.xlsx,oece_convocatorias_2023_solo_contratacion_directa.xlsx,pendiente,pendiente,pendiente,pendiente,0
2024,todos_los_procesos,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2024/oece_convocatorias_2024_todos_los_procesos.xlsx,oece_convocatorias_2024_todos_los_procesos.xlsx,pendiente,pendiente,pendiente,pendiente,1
2024,solo_subasta_inversa_electronica,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2024/oece_convocatorias_2024_solo_subasta_inversa_electronica.xlsx,oece_convocatorias_2024_solo_subasta_inversa_electronica.xlsx,pendiente,pendiente,pendiente,pendiente,0
2024,solo_contratacion_directa,1,https://bi.seace.gob.pe/pentaho/api/repos/%3Apublic%3Aportal%3Adataset.html/content?userid=public&password=key&pagina=convocatorias,/content/drive/MyDrive/IA Generativa para CCSS/Trabajo Final/03_datos_brutos/convocatorias/2024/oece_convocatorias_2024_solo_contratacion_directa.xlsx,oece_convocatorias_2024_solo_contratacion_directa.xlsx,pendiente,pendiente,pendiente,pendiente,0
